TF,k,MSE,RMSE,Pearson,Spearman
VENTX,100,0.027020819546046383,0.16438010690483926,0.024356328003157575,0.024117738399875903
YAP1,75,0.008083414852724766,0.08990781307942468,0.18731885743222043,0.18549495153626286
YBX1,75,0.04468569331962387,0.21138990827289714,0.017834965425389804,0.01873164028586328
YBX3,75,0.10095971648201099,0.31774158758653387,-0.016325478786194704,0.04881202413242332
YWHAZ,100,0.017832793237877672,0.1335394819440216,0.14083461829255167,0.11301386748071449
ZBTB7A,100,0.024655094838167933,0.15701940911291168,0.04754121598764872,0.03825280196375243
ZBTB10,50,0.0212722808706787,0.14585020010503483,0.07095735871739065,0.06477706985892949
ZBTB18,100,0.030632347864188208,0.1750209926385638,-0.00467089146077674,-0.0016854781949479682
ZBTB37,100,0.005479472919271302,0.07402346195140634,0.005026255298221057,0.0006822708915914187
ZBTB42,100,0.048984010943538235,0.22132331766792723,0.02672150674829362,0.018399122695669977
ZEB2,50,0.04153420181507879,0.20379941563968917,0.08996513870435277,0.06851000691107169
ZFP36L2,75,0.013618283651304764,0.1166974020760735,0.05433127464184131,0.05940730613336541
ZFPM2,50,0.015309488889718895,0.1237315193866094,0.06526134547574877,0.052941707943717775
ZIC2,100,0.02794732371759992,0.1671745307084782,0.04319100827939844,0.029298465718093837
ZNF136,100,0.030031672073820858,0.17329648604002582,0.05441041270593534,0.04242223767225371
ZNF286B,75,0.029547496252319533,0.17189385170016852,0.05509800970026628,0.0493984195275904
ZNF296,75,0.025212593043266174,0.1587847380678199,0.19401366800429298,0.1945629987794014
ZNF618,100,0.013244877988645792,0.11508639358606122,0.13818289003161344,0.12253742823560185
ZNF777,100,0.01661739825619535,0.12890848791369539,0.04039604975673213,0.01923791605594004
ZNF827,25,0.035776252939923404,0.1891461153180879,0.01567898956433247,0.016282842568499465
